"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Avanzo�Learning�Progress�","Avanzo�Learning�Progress�"
"Department for International Development","Netherlands, Government of","Department for International Development","Avanzo�Learning�Progress�","Avanzo�Learning�Progress�"
"Department for International Development","Netherlands, Government of","Department for International Development","Mr. Green Trading Africa","Mr. Green Trading Africa"
"Department for International Development","Netherlands, Government of","Department for International Development","Alsalam Atelier



","Alsalam Atelier



"
"Department for International Development","Netherlands, Government of","Department for International Development","Balloon Ventures Ltd

","Balloon Ventures Ltd

"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Fair Agro-FOGA Gum","Fair Agro-FOGA Gum"
"Department for International Development","Netherlands, Government of","Department for International Development","Simbuka/Cregora B.V.","Simbuka/Cregora B.V."
"Department for International Development","Netherlands, Government of","Department for International Development","SFDC Ireland Ltd



","SFDC Ireland Ltd



"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Included Company Limited","Included Company Limited"
"Department for International Development","Netherlands, Government of","Department for International Development","Included Company Limited","Included Company Limited"
"Department for International Development","Netherlands, Government of","Department for International Development","Tindy","Tindy"
"Department for International Development","Netherlands, Government of","Department for International Development","Intel Outsourcing Services
","Intel Outsourcing Services
"
"Department for International Development","Netherlands, Government of","Department for International Development","Sanivation Limited
","Sanivation Limited
"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Stichting Hivos -Humanist","Stichting Hivos -Humanist"
"Department for International Development","Netherlands, Government of","Department for International Development","Stichting Hivos -Humanist","Stichting Hivos -Humanist"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","SFDC Ireland Ltd","SFDC Ireland Ltd"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Hasan Abu-Rous Auditing F","Hasan Abu-Rous Auditing F"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","AUXFIN International B.V.","AUXFIN International B.V."
"Department for International Development","Netherlands, Government of","Department for International Development","AUXFIN International B.V.","AUXFIN International B.V."
"Department for International Development","Netherlands, Government of","Department for International Development","Salalem-Darajat Lil Tadre
","Salalem-Darajat Lil Tadre
"
"Department for International Development","Netherlands, Government of","Department for International Development","Digital Marketing Skill



","Digital Marketing Skill



"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Design Innovation Group","Design Innovation Group"
"Department for International Development","Netherlands, Government of","Department for International Development","Design Innovation Group","Design Innovation Group"
"Department for International Development","Netherlands, Government of","Department for International Development","Digital Marketing Skill


","Digital Marketing Skill


"
"Department for International Development","Netherlands, Government of","Department for International Development","Light for the World","Light for the World"
"Department for International Development","Netherlands, Government of","Department for International Development","Stutern (Nig) Limited

","Stutern (Nig) Limited

"
"Department for International Development","Netherlands, Government of","Department for international developement","Stichting Woord en Daad","Stichting Woord en Daad"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","LA FABRIQUE SARL","LA FABRIQUE SARL"
"Department for International Development","Netherlands, Government of","Department for International Development","LA FABRIQUE SARL","LA FABRIQUE SARL"
"Department for International Development","Netherlands, Government of","Department for International Development","Dasri Sterile","Dasri Sterile"
"Ministry of Foreign Affairs of the Netherlands","Netherlands, Government of","Department for International Development","Green Circle for Software","Green Circle for Software"
